"Source Name",Date/Time,"Device Make","Device Model","Device ID","Data Source"
SYSTEM,"2024-04-21 16:36:46 CST",,ROOT_HUB20,"4&133e858d&0","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:46 CST",,ROOT_HUB20,"4&14ee5fd8&0","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:24 CST",,ROOT_HUB20,"4&1e965b36&0","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:24 CST",,ROOT_HUB20,"4&23a2d87c&0","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:16:19 CST",,ROOT_HUB30,"5&103e2922&0&0","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:25 CST","Quanta Computer, Inc.","Product: 2FB1","6&1d859e82&0&4","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:25 CST","Quanta Computer, Inc.","Product: 2FB1","7&36c23b80&0&0000","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:37:33 CST","Toshiba America Inc","Product: B301",20220817001348F,"001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Chicony Electronics Co., Ltd","integrated camera","6&7bfdcbe&0&6","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Chicony Electronics Co., Ltd","integrated camera","7&1bd3c3d9&0&0000","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 05:57:27 CST","Lexar Media, Inc.","LJDTT16G [JumpDrive 16GB]",AA218R9MXJHI5V5E,"001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 23:11:49 CST","SanDisk Corp.","Product: 5595","0401bd0c7b6cdabb45987ebe44d9480e40aceb4c42cc3a61b6970ddb2be277c77a12000000000000000000006effc22d00045618955581079ba8a469","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Broadcom Corp.","BCM2045B (BDC-2.1)",402CF4E0599B,"001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 09:50:16 CST","Ralink Technology, Corp.","RT2870/RT3070 Wireless Adapter",1.0,"001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:15:37 CST","Verbatim, Ltd","Flash Drive",700031C37113A349,"001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Dell Computer Corp.","Keyboard and mouse dongle","6&27a185c8&0&2","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:16:19 CST","Dell Computer Corp.","Keyboard and mouse dongle","6&3a46fa3b&0&4","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 05:58:05 CST","Dell Computer Corp.","Keyboard and mouse dongle","6&3b8d64fe&0&2","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 05:58:06 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&305f11e9&0&0000","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:16:19 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&8ad661b&0&0000","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&980dfb7&0&0000","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 05:58:06 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&305f11e9&0&0001","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:16:19 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&8ad661b&0&0001","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&980dfb7&0&0001","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 05:58:06 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&305f11e9&0&0002","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-23 10:16:20 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&8ad661b&0&0002","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Dell Computer Corp.","Keyboard and mouse dongle","7&980dfb7&0&0002","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:25 CST","Intel Corp.","Centrino Advanced-N 6230 Bluetooth adapter","6&3b8d64fe&0&5","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:24 CST","Intel Corp.","Integrated Rate Matching Hub","5&20074af4&0&1","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:47 CST","Intel Corp.","Integrated Rate Matching Hub","5&2584a021&0&1","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-22 00:12:25 CST","Intel Corp.","Integrated Rate Matching Hub","5&3216659&0&1","001-003-LAptop-Pavana T3.E01"
SYSTEM,"2024-04-21 16:36:48 CST","Intel Corp.","Integrated Rate Matching Hub","5&e2ed890&0&1","001-003-LAptop-Pavana T3.E01"
