"Source Name","Program Name",Date/Time,"Data Source"
SOFTWARE,"LibreOffice 24.2.2.2 v.24.2.2.2","2024-04-23 06:19:25 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Adobe Acrobat (64-bit) v.24.002.20687","2024-04-23 05:34:57 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Safer Web v.3.15.0","2024-04-23 05:29:08 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"VPN by RAV v.2.15.1","2024-04-23 05:27:05 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"RAV Endpoint Protection v.5.28.2","2024-04-23 05:23:24 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"mspaint-b330ad9e-f80b-4c96-9949-4b4228be9a6e","2024-04-22 06:08:50 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"mstsc-4b0a31aa-df6a-4307-9b47-d5cc50009643","2024-04-22 06:08:50 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"SnippingTool-ee6eb196-db28-4d99-816d-fa9a63b4a377","2024-04-22 06:08:50 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Oracle VM VirtualBox 7.0.14 v.7.0.14","2024-04-22 02:44:36 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33135 v.14.38.33135","2024-04-22 02:43:05 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33135 v.14.38.33135","2024-04-22 02:43:03 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Update Health Tools v.3.74.0.0","2024-04-22 01:38:01 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Update for Windows 10 for x64-based Systems (KB5001716) v.8.94.0.0","2024-04-22 01:35:57 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"NVIDIA Install Application v.2.1002.175.1474","2024-04-22 01:30:56 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Panel de control de NVIDIA 353.62 v.353.62","2024-04-22 01:30:55 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Synaptics Pointing Device Driver v.19.0.17.2","2024-04-21 22:25:05 CST","001-003-LAptop-Pavana T3.E01"
