"Source Name","Program Name",Username,Date/Time,Comment,"Data Source"
SYSTEM,"\Windows\System32\oobe\FirstLogonAnim.exe",SYSTEM,"2024-04-21 16:31:21 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\msiexec.exe",SYSTEM,"2024-04-23 00:28:52 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\csrss.exe",SYSTEM,"2024-04-23 00:23:26 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\consent.exe",SYSTEM,"2024-04-23 10:39:11 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\explorer.exe","S-1-5-21-1936453629-2262114833-2442330573-1000","2024-04-21 16:28:58 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy","S-1-5-21-1936453629-2262114833-2442330573-1000","2024-04-21 16:28:58 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy","S-1-5-21-1936453629-2262114833-2442330573-1000","2024-04-21 16:21:33 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"MicrosoftWindows.Client.CBS_cw5n1h2txyewy","S-1-5-21-1936453629-2262114833-2442330573-1000","2024-04-21 16:28:57 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\explorer.exe",,"2024-04-23 09:50:57 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files (x86)\Microsoft\Edge\Application\msedge.exe",,"2024-04-23 10:36:49 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy",,"2024-04-22 00:19:57 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.Windows.Search_cw5n1h2txyewy",,"2024-04-23 09:13:51 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy",,"2024-04-22 05:58:07 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"MicrosoftWindows.Client.CBS_cw5n1h2txyewy",,"2024-04-23 10:21:35 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\cmd.exe",,"2024-04-22 23:14:10 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\ApplicationFrameHost.exe",,"2024-04-22 21:50:31 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe",,"2024-04-23 10:44:03 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"windows.immersivecontrolpanel_cw5n1h2txyewy",,"2024-04-23 09:57:28 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Users\ken\Downloads\nmap-7.94-setup.exe",,"2024-04-21 20:17:58 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files\Npcap\NPFInstall.exe",,"2024-04-21 19:55:15 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\mspaint.exe",,"2024-04-21 20:21:50 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\EaseOfAccessDialog.exe",,"2024-04-21 20:21:33 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files\Windows NT\Accessories\wordpad.exe",,"2024-04-23 00:04:22 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Users\ken\Downloads\VirtualBox-7.0.14-161095-Win.exe",,"2024-04-21 20:44:58 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Users\ken\Downloads\FileZilla_3.67.0_win64_sponsored2-setup.exe",,"2024-04-21 20:39:54 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files\FileZilla FTP Client\filezilla.exe",,"2024-04-22 13:36:02 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files\Oracle\VirtualBox\VirtualBox.exe",,"2024-04-23 10:13:51 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\SecureBootEncodeUEFI.exe",,"2024-04-21 20:57:04 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files\Oracle\VirtualBox\VirtualBoxVM.exe",,"2024-04-22 00:00:12 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\SystemSettingsAdminFlows.exe",,"2024-04-21 22:30:20 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files (x86)\Nmap\zenmap\bin\pythonw.exe",,"2024-04-22 11:44:18 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"Microsoft.LockApp_cw5n1h2txyewy",,"2024-04-22 05:59:02 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Users\ken\Downloads\OperaSetup.exe",,"2024-04-22 12:15:55 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\SystemTemp\GUM666F.tmp\BraveUpdate.exe",,"2024-04-22 11:31:42 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files (x86)\BraveSoftware\Update\BraveUpdate.exe",,"2024-04-22 11:31:42 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",,"2024-04-23 10:07:11 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\mstsc.exe",,"2024-04-22 23:19:20 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
SYSTEM,"\Windows\System32\CredentialUIBroker.exe",,"2024-04-22 23:19:18 CST","Recently Executed according to Background Activity Moderator (BAM)","001-003-LAptop-Pavana T3.E01"
