"Source Name",Path,"Date Accessed","Data Source"
Internet.lnk,"No preferred path found","2024-04-21 19:44:36 CST","001-003-LAptop-Pavana T3.E01"
"Opciones de energía.lnk","No preferred path found","2024-04-22 06:04:12 CST","001-003-LAptop-Pavana T3.E01"
ms-settingsnetwork.lnk,"No preferred path found","2024-04-23 09:43:36 CST","001-003-LAptop-Pavana T3.E01"
"ms-settingswindowsupdate.lnk","No preferred path found","2024-04-21 19:44:36 CST","001-003-LAptop-Pavana T3.E01"
"ms-settingspersonalization-start.lnk","No preferred path found","2024-04-22 11:32:32 CST","001-003-LAptop-Pavana T3.E01"
"Ventoy (E).lnk","E:\","2024-04-22 23:12:07 CST","001-003-LAptop-Pavana T3.E01"
"TOSHIBA EXT (D) (2).lnk","D:\","2024-04-23 10:12:12 CST","001-003-LAptop-Pavana T3.E01"
"TOSHIBA EXT (D).lnk","D:\","2024-04-23 10:12:12 CST","001-003-LAptop-Pavana T3.E01"
"No preferred path found.lnk","No preferred path found","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
vpn.lnk,"E:\vpn.txt","2024-04-22 23:12:07 CST","001-003-LAptop-Pavana T3.E01"
Caso-Pavana-Hidalgo.lnk,"D:\Caso-Pavana-Hidalgo","2024-04-23 10:12:12 CST","001-003-LAptop-Pavana T3.E01"
vpn.txt.lnk,"E:\vpn.txt","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Imágenes.lnk,"C:\Users\ken\Pictures","2024-04-22 23:20:47 CST","001-003-LAptop-Pavana T3.E01"
3992.lnk,"C:\Users\ken\Pictures\3992.webp","2024-04-22 23:21:05 CST","001-003-LAptop-Pavana T3.E01"
Descargas.lnk,"C:\Users\ken\Downloads","2024-04-21 20:21:44 CST","001-003-LAptop-Pavana T3.E01"
Laptop.lnk,"D:\Caso-Pavana-Hidalgo\Laptop","2024-04-23 10:12:33 CST","001-003-LAptop-Pavana T3.E01"
NOMINA.lnk,"C:\Users\ken\Documents\NOMINA.docx","2024-04-23 08:38:43 CST","001-003-LAptop-Pavana T3.E01"
r95703.lnk,"C:\Users\ken\Documents\r95703.DOCX","2024-04-23 08:38:06 CST","001-003-LAptop-Pavana T3.E01"
AA1ntKxM.lnk,"C:\Users\ken\Pictures\AA1ntKxM.jpg","2024-04-23 00:28:25 CST","001-003-LAptop-Pavana T3.E01"
AA1ntMED.lnk,"C:\Users\ken\Pictures\AA1ntMED.jpg","2024-04-23 00:14:49 CST","001-003-LAptop-Pavana T3.E01"
AA1ntPgm.lnk,"C:\Users\ken\Pictures\AA1ntPgm.jpg","2024-04-23 00:14:01 CST","001-003-LAptop-Pavana T3.E01"
AA1ntTSa.lnk,"C:\Users\ken\Pictures\AA1ntTSa.jpg","2024-04-23 00:13:50 CST","001-003-LAptop-Pavana T3.E01"
AA1ntTSh.lnk,"C:\Users\ken\Pictures\AA1ntTSh.jpg","2024-04-23 00:14:10 CST","001-003-LAptop-Pavana T3.E01"
AA1ntVJX.lnk,"C:\Users\ken\Pictures\AA1ntVJX.jpg","2024-04-23 00:14:35 CST","001-003-LAptop-Pavana T3.E01"
Documento.lnk,"C:\Users\ken\Documents\Documento.rtf","2024-04-23 10:51:47 CST","001-003-LAptop-Pavana T3.E01"
Music.lnk,"C:\Users\ken\Music","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Videos.lnk,"C:\Users\ken\Videos","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Desktop.lnk,"C:\Users\ken\Desktop","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Pictures.lnk,"C:\Users\ken\Pictures","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Laptop Dell (2).lnk","D:\Caso-Pavana-Hidalgo\Laptop Dell","2024-04-23 10:13:23 CST","001-003-LAptop-Pavana T3.E01"
"Laptop Dell.lnk","D:\Caso-Pavana-Hidalgo\Laptop Dell","2024-04-23 10:13:04 CST","001-003-LAptop-Pavana T3.E01"
"Laptop Dell (3).lnk","D:\Caso-Pavana-Hidalgo\Laptop Dell","2024-04-23 10:13:33 CST","001-003-LAptop-Pavana T3.E01"
Downloads.lnk,"C:\Users\ken\Downloads","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Documents.lnk,"C:\Users\ken\Documents","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Descargas (2).lnk","C:\Users\ken\Downloads","2024-04-21 22:53:06 CST","001-003-LAptop-Pavana T3.E01"
Documentos.lnk,"C:\Users\ken\Documents","2024-04-23 00:05:15 CST","001-003-LAptop-Pavana T3.E01"
F-DP-DN-02.lnk,"C:\Users\ken\Documents\F-DP-DN-02.docx","2024-04-23 08:38:38 CST","001-003-LAptop-Pavana T3.E01"
arh-pa-f-18.lnk,"C:\Users\ken\Documents\arh-pa-f-18.docx","2024-04-23 08:38:32 CST","001-003-LAptop-Pavana T3.E01"
"Anexo 11 Nomina.lnk","C:\Users\ken\Documents\Anexo 11 Nomina.xlsx","2024-04-23 08:35:34 CST","001-003-LAptop-Pavana T3.E01"
DuckDuckGo.lnk,"C:\Users\ken\Downloads\DuckDuckGo.appinstaller","2024-04-22 13:24:10 CST","001-003-LAptop-Pavana T3.E01"
27_Analista_Nominas.lnk,"C:\Users\ken\Documents\27_Analista_Nominas.xlsx","2024-04-23 08:35:53 CST","001-003-LAptop-Pavana T3.E01"
02_Prest_Nomina_2022.lnk,"C:\Users\ken\Documents\02_Prest_Nomina_2022.xlsx","2024-04-23 08:36:03 CST","001-003-LAptop-Pavana T3.E01"
DA__I-21-06-1T-2021A.lnk,"C:\Users\ken\Documents\DA__I-21-06-1T-2021A.xlsx","2024-04-23 08:36:49 CST","001-003-LAptop-Pavana T3.E01"
"anime-dbt18qjb7b1cstr1.lnk","C:\Users\ken\Pictures\anime-dbt18qjb7b1cstr1.webp","2024-04-22 23:20:56 CST","001-003-LAptop-Pavana T3.E01"
"RemuneracionDiciembre21.lnk","C:\Users\ken\Documents\RemuneracionDiciembre21.xlsx","2024-04-23 08:36:16 CST","001-003-LAptop-Pavana T3.E01"
8D.lnk,"C:\Users\ken\Downloads\8D","2024-04-21 22:53:06 CST","001-003-LAptop-Pavana T3.E01"
Triage.lnk,"D:\Caso-Pavana-Hidalgo\Laptop Dell\Triage","2024-04-23 10:13:04 CST","001-003-LAptop-Pavana T3.E01"
"21.Operador de Nómina.lnk","C:\Users\ken\Documents\21.Operador de N￳mina.docx","2024-04-23 08:38:58 CST","001-003-LAptop-Pavana T3.E01"
varios.lnk,"C:\Users\ken\Documents\varios","2024-04-23 00:05:14 CST","001-003-LAptop-Pavana T3.E01"
"Dump memoria.lnk","D:\Caso-Pavana-Hidalgo\Laptop Dell\Dump memoria","2024-04-23 10:13:23 CST","001-003-LAptop-Pavana T3.E01"
"Imagen de disco.lnk","D:\Caso-Pavana-Hidalgo\Laptop Dell\Imagen de disco","2024-04-23 10:13:33 CST","001-003-LAptop-Pavana T3.E01"
"4fdd30c6a4e83370022b080095f09fe7.lnk","C:\Users\ken\Pictures\4fdd30c6a4e83370022b080095f09fe7.webp","2024-04-22 23:20:47 CST","001-003-LAptop-Pavana T3.E01"
"6ecba23dcdbeed00a6ba3db92adef83f.lnk","C:\Users\ken\Pictures\6ecba23dcdbeed00a6ba3db92adef83f.webp","2024-04-22 23:21:12 CST","001-003-LAptop-Pavana T3.E01"
"Copia-de-nomina-de-trabajadores.lnk","C:\Users\ken\Documents\Copia-de-nomina-de-trabajadores.xlsx","2024-04-23 08:36:11 CST","001-003-LAptop-Pavana T3.E01"
"d6d897e92f80620f037b1809981ff748.lnk","C:\Users\ken\Downloads\d6d897e92f80620f037b1809981ff748.jpg","2024-04-22 13:45:44 CST","001-003-LAptop-Pavana T3.E01"
"Archive1111 (2).lnk","C:\Users\ken\Downloads\Archive1111","2024-04-22 21:53:55 CST","001-003-LAptop-Pavana T3.E01"
"3b1882435511ed127473c0761c46d130.lnk","C:\Users\ken\Documents\3b1882435511ed127473c0761c46d130.docx","2024-04-23 08:38:48 CST","001-003-LAptop-Pavana T3.E01"
AA1ntRp9.lnk,"C:\Users\ken\Pictures\AA1ntRp9.jpg","2024-04-23 00:13:36 CST","001-003-LAptop-Pavana T3.E01"
"1era - MAR_2022 - Nomina - General.lnk","C:\Users\ken\Documents\1era - MAR_2022 - Nomina - General.xlsx","2024-04-23 08:35:48 CST","001-003-LAptop-Pavana T3.E01"
"6.-Papel-de-Trabajo-ISR-Junio-2021.lnk","C:\Users\ken\Documents\6.-Papel-de-Trabajo-ISR-Junio-2021.xlsx","2024-04-23 08:36:34 CST","001-003-LAptop-Pavana T3.E01"
Xd.lnk,"C:\Users\ken\Downloads\Xd.png","2024-04-21 20:21:44 CST","001-003-LAptop-Pavana T3.E01"
"8541c762-d276-4cb5-ae45-28bd992c062e.lnk","C:\Users\ken\Documents\8541c762-d276-4cb5-ae45-28bd992c062e.htm","2024-04-23 08:37:39 CST","001-003-LAptop-Pavana T3.E01"
3992.webp.lnk,"C:\Users\ken\Pictures\3992.webp","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Archive1111.lnk,"C:\Users\ken\Downloads\Archive1111.zip","2024-04-22 21:52:12 CST","001-003-LAptop-Pavana T3.E01"
"3er_trimestre_cuentas_de_nomina_2022.lnk","C:\Users\ken\Documents\3er_trimestre_cuentas_de_nomina_2022.xlsx","2024-04-23 08:35:43 CST","001-003-LAptop-Pavana T3.E01"
"Layout Dispersión de Nómina df.lnk","C:\Users\ken\Documents\Layout Dispersi￳n de N￳mina df.xlsm","2024-04-23 08:35:58 CST","001-003-LAptop-Pavana T3.E01"
"mapa-mental-estudio-de-mercado-1-2048.lnk","C:\Users\ken\Pictures\mapa-mental-estudio-de-mercado-1-2048.webp","2024-04-23 09:05:10 CST","001-003-LAptop-Pavana T3.E01"
NOMINA.docx.lnk,"C:\Users\ken\Documents\NOMINA.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
r95703.DOCX.lnk,"C:\Users\ken\Documents\r95703.DOCX","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
AA1ntMED.jpg.lnk,"C:\Users\ken\Pictures\AA1ntMED.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
AA1ntKxM.jpg.lnk,"C:\Users\ken\Pictures\AA1ntKxM.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
AA1ntTSa.jpg.lnk,"C:\Users\ken\Pictures\AA1ntTSa.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
AA1ntTSh.jpg.lnk,"C:\Users\ken\Pictures\AA1ntTSh.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
AA1ntVJX.jpg.lnk,"C:\Users\ken\Pictures\AA1ntVJX.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
AA1ntPgm.jpg.lnk,"C:\Users\ken\Pictures\AA1ntPgm.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Carat.lnk,"C:\Users\ken\Documents\Carat.odt","2024-04-23 00:30:11 CST","001-003-LAptop-Pavana T3.E01"
"Formato-AdhesionMtto-SistemaPagoNomina.lnk","C:\Users\ken\Documents\Formato-AdhesionMtto-SistemaPagoNomina.docx","2024-04-23 08:38:53 CST","001-003-LAptop-Pavana T3.E01"
"{03087770-0B3C-280C-7503-786970EFECF7}.lnk","C:\Users\ken\Documents\{03087770-0B3C-280C-7503-786970EFECF7}.docx","2024-04-23 08:38:14 CST","001-003-LAptop-Pavana T3.E01"
Documento.rtf.lnk,"C:\Users\ken\Documents\Documento.rtf","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
F-DP-DN-02.docx.lnk,"C:\Users\ken\Documents\F-DP-DN-02.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
arh-pa-f-18.docx.lnk,"C:\Users\ken\Documents\arh-pa-f-18.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
